AHNAK2
AIM2
CAV1
FAM26F
FERMT1
GPM6B
HMMR
KRT14
LOX
PAPPA
PHLDA1
PMAIP1
S100A2
SLC16A1
SLC2A3
SLC5A3
TWIST1
CKS2
HK2
NT5E
