Table S3 - Differentially expressed genes between paired epithelial and stromal LCM samples (FDR < 0.05)						
GeneSymbol	log2FC	Predicted_Compartment				
LAMC2	-2.28	Epithelial				
DSP	-2.29	Epithelial				
ITGA6	-2.30	Epithelial				
MPZL2	-2.30	Epithelial				
CFTR	-2.33	Epithelial				
MECOM	-2.33	Epithelial				
SYT13	-2.34	Epithelial				
EZR	-2.34	Epithelial				
MUC16	-2.35	Epithelial				
REG1A	-2.40	Epithelial				
GPR56	-2.41	Epithelial				
C5orf32	-2.42	Epithelial				
ECT2	-2.43	Epithelial				
PTPRF	-2.45	Epithelial				
SDC4	-2.47	Epithelial				
KRT18	-2.49	Epithelial				
RBM47	-2.49	Epithelial				
ANXA4	-2.52	Epithelial				
TNFRSF11B	-2.52	Epithelial				
WFDC2	-2.54	Epithelial				
SAMD12	-2.56	Epithelial				
ACSL5	-2.56	Epithelial				
MMP7	-2.60	Epithelial				
ST14	-2.61	Epithelial				
MMP1	-2.61	Epithelial				
LAMA3	-2.64	Epithelial				
KRT8	-2.65	Epithelial				
LAD1	-2.66	Epithelial				
FERMT1	-2.66	Epithelial				
SCNN1A	-2.68	Epithelial				
MUC1	-2.70	Epithelial				
RASSF6	-2.70	Epithelial				
PCDH1	-2.72	Epithelial				
TC2N	-2.73	Epithelial				
MET	-2.76	Epithelial				
GALNT3	-2.77	Epithelial				
MACC1	-2.78	Epithelial				
LSR	-2.79	Epithelial				
TACSTD2	-2.80	Epithelial				
BAIAP2L1	-2.82	Epithelial				
CP	-2.83	Epithelial				
GPRC5A	-2.83	Epithelial				
ABCC3	-2.84	Epithelial				
ITGB6	-2.85	Epithelial				
KLK10	-2.85	Epithelial				
MYO5C	-2.88	Epithelial				
SPINT2	-2.89	Epithelial				
TNS4	-2.90	Epithelial				
ITGB4	-2.91	Epithelial				
PPP1R9A	-2.92	Epithelial				
S100A14	-2.93	Epithelial				
VNN1	-2.93	Epithelial				
TSPAN1	-2.94	Epithelial				
ELF3	-2.96	Epithelial				
NQO1	-2.98	Epithelial				
F5	-3.00	Epithelial				
CLDN4	-3.02	Epithelial				
COL17A1	-3.02	Epithelial				
ONECUT2	-3.03	Epithelial				
KRT19	-3.04	Epithelial				
SLC12A2	-3.05	Epithelial				
TPD52	-3.05	Epithelial				
SLC44A4	-3.07	Epithelial				
IRF6	-3.08	Epithelial				
SHROOM3	-3.08	Epithelial				
FXYD3	-3.08	Epithelial				
DUOX2	-3.12	Epithelial				
SOX9	-3.14	Epithelial				
MAL2	-3.15	Epithelial				
CYP2S1	-3.15	Epithelial				
EHF	-3.16	Epithelial				
FAM83B	-3.21	Epithelial				
C1orf116	-3.25	Epithelial				
ESRP1	-3.26	Epithelial				
MUC13	-3.26	Epithelial				
CLDN18	-3.26	Epithelial				
OCLN	-3.27	Epithelial				
GDA	-3.28	Epithelial				
CDH1	-3.30	Epithelial				
KIAA1244	-3.31	Epithelial				
MUC3A	-3.32	Epithelial				
MUC6	-3.32	Epithelial				
GPR126	-3.33	Epithelial				
ATP10B	-3.33	Epithelial				
CTSE	-3.34	Epithelial				
FLRT3	-3.36	Epithelial				
SERPINB5	-3.37	Epithelial				
TMC5	-3.39	Epithelial				
PIGR	-3.40	Epithelial				
SLC7A11	-3.41	Epithelial				
CXCL5	-3.45	Epithelial				
LCN2	-3.45	Epithelial				
CEACAM1	-3.53	Epithelial				
LGALS4	-3.53	Epithelial				
ATP1B1	-3.53	Epithelial				
CLDN2	-3.55	Epithelial				
RAB25	-3.61	Epithelial				
CEACAM6	-3.62	Epithelial				
TMPRSS4	-3.63	Epithelial				
PLS1	-3.63	Epithelial				
FZD5	-3.65	Epithelial				
DPCR1	-3.68	Epithelial				
EPCAM	-3.68	Epithelial				
CXADR	-3.69	Epithelial				
POF1B	-3.74	Epithelial				
MUC5B	-3.78	Epithelial				
SLC6A14	-3.81	Epithelial				
CXCL17	-3.82	Epithelial				
GPX2	-3.87	Epithelial				
AGR2	-3.88	Epithelial				
TCN1	-3.89	Epithelial				
ERBB3	-3.90	Epithelial				
GCNT3	-3.90	Epithelial				
MUC4	-3.92	Epithelial				
CDH17	-3.94	Epithelial				
MUC17	-3.95	Epithelial				
PROM1	-3.96	Epithelial				
KLF5	-3.96	Epithelial				
CEACAM5	-4.04	Epithelial				
WDR72	-4.05	Epithelial				
CYP3A5	-4.06	Epithelial				
VSIG1	-4.06	Epithelial				
TSPAN8	-4.27	Epithelial				
TFF2	-4.29	Epithelial				
SPINK1	-4.30	Epithelial				
TFF1	-4.50	Epithelial				
MUC5AC	-4.72	Epithelial				
TM4SF4	-4.81	Epithelial				
REG4	-5.20	Epithelial				
GABRP	-5.22	Epithelial				
OLFM4	-5.29	Epithelial				
DMBT1	-5.87	Epithelial				
