Table S3 - Differentially expressed genes between paired epithelial and stromal LCM samples (FDR < 0.05)						
GeneSymbol	log2FC	Predicted_Compartment				
VCAN	3.45	Stromal				
HEYL	3.44	Stromal				
PTPRC	3.43	Stromal				
COL6A1	3.38	Stromal				
PRICKLE1	3.37	Stromal				
LAMA4	3.34	Stromal				
FGL2	3.33	Stromal				
NDNF	3.32	Stromal				
LAPTM5	3.32	Stromal				
RNF144A	3.29	Stromal				
CCND2	3.29	Stromal				
SLC6A6	3.29	Stromal				
CYBB	3.28	Stromal				
EVI2B	3.28	Stromal				
MXRA7	3.28	Stromal				
MMP11	3.26	Stromal				
FERMT2	3.26	Stromal				
FAT4	3.26	Stromal				
TPM2	3.25	Stromal				
PDE3A	3.24	Stromal				
PALLD	3.23	Stromal				
LTBP1	3.20	Stromal				
TNS1	3.18	Stromal				
TSHZ2	3.17	Stromal				
ENPP1	3.15	Stromal				
NID1	3.14	Stromal				
PECAM1	3.14	Stromal				
CD93	3.13	Stromal				
ENTPD1	3.12	Stromal				
AKT3	3.11	Stromal				
ALDH1L2	3.09	Stromal				
STC1	3.09	Stromal				
GPC6	3.08	Stromal				
SSPN	3.07	Stromal				
SLC2A3	3.03	Stromal				
MRAS	3.02	Stromal				
SRGN	3.02	Stromal				
PDGFC	3.01	Stromal				
RAB23	2.97	Stromal				
PRSS23	2.96	Stromal				
PTGIS	2.96	Stromal				
MAP1B	2.94	Stromal				
SH3PXD2A	2.93	Stromal				
FBXO32	2.93	Stromal				
ABCA1	2.91	Stromal				
RUNX2	2.90	Stromal				
KIAA1462	2.88	Stromal				
SERPINH1	2.88	Stromal				
LXN	2.86	Stromal				
GPX8	2.86	Stromal				
CPE	2.84	Stromal				
FLRT2	2.84	Stromal				
LRP1	2.84	Stromal				
DAB2	2.83	Stromal				
MEF2C	2.83	Stromal				
ROBO1	2.82	Stromal				
PAPPA	2.80	Stromal				
FLT1	2.79	Stromal				
EPB41L2	2.79	Stromal				
KANK2	2.77	Stromal				
TLR4	2.77	Stromal				
CSGALNACT2	2.76	Stromal				
CYBRD1	2.75	Stromal				
FMOD	2.75	Stromal				
ANKH	2.74	Stromal				
TIMP2	2.71	Stromal				
PRDM1	2.69	Stromal				
CALCRL	2.68	Stromal				
FLNA	2.65	Stromal				
FILIP1L	2.64	Stromal				
C18orf1	2.63	Stromal				
CHST11	2.63	Stromal				
IGFBP4	2.60	Stromal				
NOTCH3	2.54	Stromal				
CNN3	2.54	Stromal				
DOCK11	2.53	Stromal				
FRMD6	2.53	Stromal				
KLF12	2.53	Stromal				
