"MYO7B"	"Progenitor"
"C11orf75"	"not unique"
"CALML4"	"Progenitor"
"NPDC1"	"Progenitor"
"FRZB"	"Immunogenic"
"TNC"	"Squamous"
"GJB1"	"not unique"
"FAM118B"	"not unique"
"FAM211A"	"Progenitor"
"IGLV1-47"	"Immunogenic"
"PLLP"	"Progenitor"
"PPFIBP2"	"not unique"
"TXNDC5"	"Immunogenic"
"IGHA2"	"Immunogenic"
"RNASE4"	"not unique"
"IGLV1-44"	"Immunogenic"
"SEMA4G"	"Progenitor"
"IGKV6-21"	"Immunogenic"
"AC124789.1"	"Squamous"
"IGHV3-33"	"Immunogenic"
"IGHV4-4"	"Immunogenic"
"POU2AF1"	"Immunogenic"
"CAV1"	"Squamous"
"AKR7A3"	"not unique"
"PGPEP1"	"ADEX"
"FEZF1-AS1"	"not unique"
"RNASE4"	"not unique"
"IGHV3-72"	"Immunogenic"
"IGHV3-15"	"Immunogenic"
"GPR160"	"Immunogenic"
"SLC12A2"	"not unique"
"PRSS3P1"	"ADEX"
"SLC4A4"	"not unique"
"SLC44A4"	"not unique"
"AMY2B"	"ADEX"
"RAB11FIP4"	"ADEX"
"IGHV3-21"	"Immunogenic"
"SLC16A12"	"ADEX"
"IGHGP"	"Immunogenic"
"AC007879.7"	"not unique"
"IGLV1-51"	"Immunogenic"
"AGR2"	"not unique"
"RAB20"	"not unique"
"REG1B"	"ADEX"
"MUC13"	"not unique"
"IGLV2-11"	"Immunogenic"
"XBP1"	"Immunogenic"
"MECOM"	"Immunogenic"
"AP001187.9"	"not unique"
"C1orf115"	"Progenitor"
"NR3C2"	"Progenitor"
"AC068491.1"	"Squamous"
"C5orf30"	"Progenitor"
"PRSS3"	"ADEX"
"IGLV6-57"	"Immunogenic"
"EGFR"	"Squamous"
"RHOU"	"not unique"
"SHROOM3"	"not unique"
"IGKV1-27"	"Immunogenic"
"IGKV2-30"	"Immunogenic"
"BACE2"	"Immunogenic"
"RNF128"	"Progenitor"
"IGHV4-61"	"Immunogenic"
"CCRL2"	"not unique"
"CAPN8"	"not unique"
"FOXA3"	"not unique"
"ARHGAP23"	"Squamous"
"TRIM2"	"Immunogenic"
"AMY2A"	"ADEX"
"ERN2"	"not unique"
"IL7"	"Immunogenic"
"RP11-731F5.2"	"Immunogenic"
"DOPEY2"	"not unique"
"VSIG2"	"not unique"
"PRSS3P2"	"ADEX"
"SLC9A2"	"not unique"
"C19orf77"	"not unique"
"MRAP2"	"not unique"
"IYD"	"Progenitor"
"IGHV2-5"	"Immunogenic"
"IGLC1"	"Immunogenic"
"CELA2A"	"ADEX"
"RAB19"	"Progenitor"
"MARC2"	"not unique"
"FJX1"	"Squamous"
"DPCR1"	"Progenitor"
"S100A2"	"Squamous"
"ANXA13"	"Progenitor"
"C2orf88"	"not unique"
"MUC3A"	"not unique"
"KCNH8"	"not unique"
"CLRN3"	"not unique"
"CCL15"	"not unique"
"PTPRJ"	"not unique"
"IGLV1-41"	"Immunogenic"
"CDH26"	"Squamous"
"HMGA2"	"Squamous"
"RP11-175O19.4"	"not unique"
"PNLIPRP2"	"ADEX"
"KIAA1609"	"Squamous"
"HOGA1"	"ADEX"
"CRB3"	"Progenitor"
"CYP2C19"	"Progenitor"
"ANG"	"not unique"
"PDE11A"	"Progenitor"
"BCAS1"	"not unique"
"GPD1L"	"Progenitor"
"RP11-325F22.5"	"not unique"
"IGLV2-18"	"Immunogenic"
"MS4A8B"	"not unique"
"ARHGEF38"	"Progenitor"
"EREG"	"Squamous"
"MYO1A"	"not unique"
"BRSK2"	"ADEX"
"IGHV2-26"	"Immunogenic"
"KIAA1244"	"Immunogenic"
"ASPHD2"	"Progenitor"
"AKR7L"	"not unique"
"SEMG1"	"not unique"
"TMTC4"	"not unique"
"PLEKHA6"	"Progenitor"
"RP11-528G1.2"	"not unique"
"DEGS2"	"not unique"
"SYT13"	"Progenitor"
"RHCG"	"Squamous"
"NOSTRIN"	"Progenitor"
"CTSS"	"Immunogenic"
"PTCH1"	"not unique"
"IGKV2-24"	"Immunogenic"
"TMEM38A"	"not unique"
"TJP3"	"Progenitor"
"PIK3C2B"	"Progenitor"
"BLNK"	"Immunogenic"
"RP11-867G23.8"	"not unique"
"PRKAA1"	"not unique"
"FUT2"	"Progenitor"
"PIWIL4"	"Progenitor"
"CCT8P1"	"not unique"
"LDLRAD3"	"Squamous"
"MBNL3"	"not unique"
"TGFBI"	"Squamous"
"KRT5"	"Squamous"
"MNX1"	"not unique"
"REG1A"	"ADEX"
"PLCE1"	"Progenitor"
"HRAS"	"Squamous"
"ADK"	"Squamous"
"ANXA1"	"Squamous"
"BHLHA15"	"not unique"
"FNIP2"	"not unique"
"ANXA10"	"not unique"
"IGHV1-24"	"Immunogenic"
"CA8"	"Immunogenic"
"IGHM"	"Immunogenic"
"ST6GALNAC1"	"not unique"
"TMPRSS2"	"not unique"
"IGKV6D-21"	"Immunogenic"
"IGHV3-20"	"Immunogenic"
"ACSS2"	"not unique"
"TPD52L2"	"Squamous"
"PHGR1"	"not unique"
"HS3ST5"	"not unique"
"SLC37A1"	"Progenitor"
"SLC5A1"	"not unique"
"EDEM3"	"Immunogenic"
"FGFR4"	"not unique"
"CDCA4"	"Squamous"
"EDN3"	"not unique"
"FXYD2"	"not unique"
"BCL2L14"	"Immunogenic"
"FUT4"	"Immunogenic"
"FOSL1"	"Squamous"
"ALDH18A1"	"not unique"
"OCLN"	"Progenitor"
"IGLV7-43"	"Immunogenic"
"ERGIC2"	"not unique"
"ATP8A1"	"Immunogenic"
"AC112721.2"	"not unique"
"KLK1"	"ADEX"
"FAM3D"	"not unique"
"CD27"	"Immunogenic"
"ASRGL1"	"not unique"
"LPIN1"	"not unique"
"IGHV3-30"	"Immunogenic"
"C4orf19"	"not unique"
"ATP8B1"	"not unique"
"IGKV1D-16"	"Immunogenic"
"RP11-1220K2.2"	"not unique"
"KBTBD11"	"Progenitor"
"HID1"	"not unique"
"ITGA5"	"Squamous"
"CA13"	"Progenitor"
"MAPK11"	"Squamous"
"C8orf47"	"not unique"
"FEZF1"	"not unique"
"GPX2"	"not unique"
"IGHV6-1"	"Immunogenic"
"IGKV3D-15"	"Immunogenic"
"C20orf118"	"not unique"
"PGC"	"Immunogenic"
"UNC5CL"	"not unique"
"IGHG4"	"Immunogenic"
"DMBT1"	"not unique"
"CADPS"	"not unique"
"NR0B2"	"not unique"
"KLC3"	"Squamous"
"KRT14"	"Squamous"
"KIAA1467"	"Squamous"
"A1CF"	"not unique"
"ARL6IP1"	"not unique"
"LGR4"	"not unique"
"PHYHIPL"	"ADEX"
"NUDT12"	"not unique"
"TUBB6"	"Squamous"
"ABHD2"	"Progenitor"
"CTAGE3P"	"Progenitor"
"SNAI2"	"Squamous"
"TPD52"	"not unique"
"TMEM40"	"Squamous"
"MEI1"	"Immunogenic"
"SORT1"	"not unique"
"BCAR3"	"Squamous"
"DISP1"	"not unique"
"CPA4"	"not unique"
"BNIP2"	"Squamous"
"CDHR5"	"not unique"
"MAD1L1"	"Squamous"
"LINC00261"	"not unique"
"FSCN1"	"Squamous"
"ACY3"	"not unique"
"RND3"	"Squamous"
"IGHV4-39"	"Immunogenic"
"ADAM17"	"Squamous"
"REG3A"	"ADEX"
"C11orf24"	"not unique"
"BTBD11"	"Squamous"
"TMEM194B"	"Squamous"
"IGLV3-10"	"Immunogenic"
"STXBP6"	"not unique"
"PLXNA2"	"Progenitor"
"PLCH1"	"not unique"
"IGLV2-8"	"Immunogenic"
"WDR17"	"ADEX"
"DAG1"	"Immunogenic"
"TRIM10"	"not unique"
"PARM1"	"Progenitor"
"AIG1"	"Squamous"
"GDA"	"Progenitor"
"BCL2L15"	"not unique"
"ITLN1"	"Immunogenic"
"RGS20"	"Squamous"
"PNLIP"	"ADEX"
"FRAT1"	"not unique"
"CAPN6"	"not unique"
"NIN"	"Squamous"
"SLC45A3"	"Progenitor"
"NQO1"	"Progenitor"
"ARSE"	"not unique"
"FRY"	"not unique"
"CAMSAP3"	"Progenitor"
"HSD17B2"	"Progenitor"
"RBM47"	"not unique"
"SLC40A1"	"Immunogenic"
"MT2A"	"Squamous"
"DNAJC22"	"Progenitor"
"KRT6A"	"Squamous"
"NPC1L1"	"not unique"
"DRAP1"	"Squamous"
"ZNF238"	"not unique"
"RUNDC3A"	"ADEX"
"IGLV5-45"	"Immunogenic"
"MCU"	"Progenitor"
"IGKV1-9"	"Immunogenic"
"RP11-728F11.1"	"not unique"
"ERBB3"	"Progenitor"
"RIMS2"	"ADEX"
"KIF12"	"not unique"
